央视高清,#genre#
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225777/index.m3u8?fmt=ts2hls
CCTV-2,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/index.m3u8?fmt=ts2hls
CCTV-3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?fmt=ts2hls
CCTV-4,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/index.m3u8?fmt=ts2hls
CCTV-5+,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226128/index.m3u8?fmt=ts2hls
CCTV-5,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/index.m3u8?fmt=ts2hls
CCTV-6,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8?fmt=ts2hls
CCTV-7,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8?fmt=ts2hls
CCTV-8,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226005/index.m3u8?fmt=ts2hls
CCTV-9,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/index.m3u8?fmt=ts2hls
CCTV-10,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8?fmt=ts2hls
CCTV-11,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/index.m3u8?fmt=ts2hls
CCTV-12,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8?fmt=ts2hls
CCTV-13,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/index.m3u8?fmt=ts2hls
CCTV-14,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8?fmt=ts2hls
CCTV-17,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226027/index.m3u8?fmt=ts2hls
CCTV-1,http://39.134.39.39/PLTV/88888888/224/3221226247/index.m3u8
CCTV-2,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8
CCTV-5,http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8
CCTV-5,http://39.134.39.39/PLTV/88888888/224/3221226151/index.m3u8
CCTV-5,http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV-5+,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV-6,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8
CCTV-6,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8
CCTV-8,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8
CCTV-8,http://39.134.39.39/PLTV/88888888/224/3221226257/index.m3u8
CCTV-10,http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8
CCTV-14,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8
IPTV5+,http://39.134.39.39/PLTV/88888888/224/3221226273/index.m3u8
CCTV-4K高清,http://121.18.168.210/livetestcdn.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
世界地理,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/index.m3u8?fmt=ts2hls
CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://117.136.154.98/PLTV/88888888/224/3221225663/index.m3u8
CCTV-1,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
